NRO_DETECCION,FECHA_PAPELETA,REGION,CARRETERA,LATITUD,LONGITUD,LIMITE_VELOCIDAD,VELOCIDAD_DETECTADA,FECHA_CORTE,lat,lon
1,20191031,LIMA,Panamericana Norte,-11.45944444,-77.31765833,100,127,20211003,-11.45944444,-77.31765833
2,20191031,LIMA,Panamericana Norte,-11.459275,-77.318175,100,117,20211003,-11.459275,-77.318175
3,20191031,LIMA,Panamericana Norte,-11.45931111,-77.31791389,100,128,20211003,-11.45931111,-77.31791389
4,20191031,LIMA,Panamericana Norte,-11.45932778,-77.31788333,100,149,20211003,-11.45932778,-77.31788333
5,20191031,LIMA,Panamericana Norte,-11.45932778,-77.31781944,100,122,20211003,-11.45932778,-77.31781944
6,20191031,LIMA,Panamericana Norte,-11.45930556,-77.31791944,100,115,20211003,-11.45930556,-77.31791944
7,20191031,LIMA,Panamericana Norte,-11.4593,-77.31795833,100,122,20211003,-11.4593,-77.31795833
8,20191031,LIMA,Panamericana Norte,-11.45933611,-77.31785278,100,121,20211003,-11.45933611,-77.31785278
9,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,108,20211003,-11.45928611,-77.31791667
10,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,114,20211003,-11.45928611,-77.31791667
11,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,130,20211003,-11.45928611,-77.31791667
12,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,107,20211003,-11.45928611,-77.31791667
13,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,110,20211003,-11.45928611,-77.31791667
14,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,117,20211003,-11.45928611,-77.31791667
15,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,114,20211003,-11.45928611,-77.31791667
16,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,124,20211003,-11.45928611,-77.31791667
17,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,107,20211003,-11.45928611,-77.31791667
18,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,128,20211003,-11.45928611,-77.31791667
19,20191031,LIMA,Panamericana Norte,-11.459325,-77.31791667,100,125,20211003,-11.459325,-77.31791667
20,20191031,LIMA,Panamericana Norte,-11.45926667,-77.31797778,100,133,20211003,-11.45926667,-77.31797778
21,20191031,LIMA,Panamericana Norte,-11.45929167,-77.317875,100,111,20211003,-11.45929167,-77.317875
22,20191031,LIMA,Panamericana Norte,-11.45930278,-77.31788056,100,121,20211003,-11.45930278,-77.31788056
23,20191031,LIMA,Panamericana Norte,-11.4593,-77.31789167,100,106,20211003,-11.4593,-77.31789167
24,20191031,LIMA,Panamericana Norte,-11.45930833,-77.31783333,100,118,20211003,-11.45930833,-77.31783333
25,20191031,LIMA,Panamericana Norte,-11.45927778,-77.31788333,100,117,20211003,-11.45927778,-77.31788333
26,20191031,LIMA,Panamericana Norte,-11.45933611,-77.31795833,100,107,20211003,-11.45933611,-77.31795833
27,20191031,LIMA,Panamericana Norte,-11.45930278,-77.31790556,100,119,20211003,-11.45930278,-77.31790556
28,20191031,LIMA,Panamericana Norte,-11.45929444,-77.31795278,100,130,20211003,-11.45929444,-77.31795278
29,20191031,LIMA,Panamericana Norte,-11.45929444,-77.31795278,100,116,20211003,-11.45929444,-77.31795278
30,20191031,LIMA,Panamericana Norte,-11.45933889,-77.3179,100,116,20211003,-11.45933889,-77.3179
31,20191031,LIMA,Panamericana Norte,-11.45931389,-77.31776944,100,120,20211003,-11.45931389,-77.31776944
32,20191031,LIMA,Panamericana Norte,-11.45931389,-77.31790278,100,106,20211003,-11.45931389,-77.31790278
33,20191031,LIMA,Panamericana Norte,-11.45928889,-77.31790278,100,107,20211003,-11.45928889,-77.31790278
34,20191031,LIMA,Panamericana Norte,-11.45928889,-77.31790278,100,111,20211003,-11.45928889,-77.31790278
35,20191031,LIMA,Panamericana Norte,-11.45928889,-77.31785278,100,108,20211003,-11.45928889,-77.31785278
36,20191031,LIMA,Panamericana Norte,-11.45931667,-77.31786944,100,114,20211003,-11.45931667,-77.31786944
37,20191031,LIMA,Panamericana Norte,-11.45931944,-77.31788611,100,118,20211003,-11.45931944,-77.31788611
38,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,107,20211003,-11.45928611,-77.31791667
39,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,112,20211003,-11.45928611,-77.31791667
40,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,106,20211003,-11.45928611,-77.31791667
41,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,118,20211003,-11.45928611,-77.31791667
42,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,153,20211003,-11.45928611,-77.31791667
43,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,109,20211003,-11.45928611,-77.31791667
44,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,109,20211003,-11.45928611,-77.31791667
45,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,128,20211003,-11.45928611,-77.31791667
46,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,135,20211003,-11.45928611,-77.31791667
47,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,109,20211003,-11.45928611,-77.31791667
48,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,120,20211003,-11.45928611,-77.31791667
49,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,107,20211003,-11.45928611,-77.31791667
50,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,136,20211003,-11.45928611,-77.31791667
51,20191031,LIMA,Panamericana Norte,-11.45928611,-77.31791667,100,107,20211003,-11.45928611,-77.31791667
52,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,115,20211003,-11.76064722,-77.155175
53,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,144,20211003,-11.76064722,-77.155175
54,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,107,20211003,-11.76064722,-77.155175
55,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,117,20211003,-11.76064722,-77.155175
56,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,119,20211003,-11.76064722,-77.155175
57,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,106,20211003,-11.76064722,-77.155175
58,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,135,20211003,-11.76064722,-77.155175
59,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,108,20211003,-11.76064722,-77.155175
60,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,116,20211003,-11.76064722,-77.155175
61,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,107,20211003,-11.76064722,-77.155175
62,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,116,20211003,-11.76064722,-77.155175
63,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,125,20211003,-11.76064722,-77.155175
64,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,109,20211003,-11.76064722,-77.155175
65,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,122,20211003,-11.76064722,-77.155175
66,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,113,20211003,-11.76064722,-77.155175
67,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,131,20211003,-11.76064722,-77.155175
68,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,118,20211003,-11.76064722,-77.155175
69,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,108,20211003,-11.76064722,-77.155175
70,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,109,20211003,-11.76064722,-77.155175
71,20191101,LIMA,Panamericana Sur,-12.73199444,-76.61547778,100,108,20211003,-12.73199444,-76.61547778
