variable,label,irr,irr_low,irr_high,p
reg_SELVA,Región: Selva,0.6758161679099828,0.5481385960550814,0.8332335947433235,0.0002447858327860138
reg_SIERRA,Región: Sierra,1.0122026435739502,0.8683458353602926,1.1798918701936159,0.8767625696745793
top_ONDULADO,Terreno ondulado,0.9530540862892883,0.812899798172915,1.1173727603749506,0.5535290092333748
top_PLANO,Terreno plano,2.018610390080931,1.6503461715768977,2.469050419312482,8.21128514637388e-12
carriles,Carriles (por carril),1.5370139853088807,1.4317186974916358,1.650053180959376,1.6640968886749648e-32
vel_proy,Vel. proyecto (por +10 km/h),1.0180294874413995,1.0145455767316007,1.0215253617673357,1.675750360860693e-24
sinuosidad,Sinuosidad,0.6652619888173518,0.591113554225444,0.7487114964655773,1.3812913497190693e-11
log_ingemmet,"Dist. INGEMMET (log, cerca=+)",0.7230669167167202,0.6667686342839606,0.7841187169994646,4.494283921618988e-15
log_cine,"Dist. cinemómetro (log, cerca=+)",0.8854012145454988,0.8409873411604757,0.9321606549236456,3.563057737751229e-06
sup_buena,Superficie buena,1.4840197600962954,1.2676918090853233,1.7372634520256947,9.077856362527456e-07
