variable,label,irr,irr_low,irr_high,p,coef,fuente
const,Intercepto,1.921217772986826,1.1742641767527418,3.143311193778901,0.009336122747390872,0.6529592417478502,ONSV
carriles,Carriles (+1),1.0580678605611624,0.9734414395138632,1.150051304690252,0.18447833370986044,0.05644447179617678,ONSV
vel_proy,Vel. proyecto (+10 km/h),1.0099841057188206,1.0054599906169257,1.014528577292028,1.4434114246815617e-05,0.009934593817282646,ONSV
topografia_ondulado,Terreno ondulado,0.6567336139028553,0.5565728587614313,0.7749192811695768,6.353062677296162e-07,-0.4204768010089003,ONSV
topografia_montanoso,Terreno montañoso,0.5577881915613027,0.45250665634363785,0.6875648397290209,4.502467043368151e-08,-0.5837759736770407,ONSV
topografia_llanura,Terreno llano,0.999999999999999,0.9999999999999987,0.9999999999999994,7.908733952208628e-06,-9.611293597211233e-16,ONSV
sup_buena,Superficie buena,1.4165813023239644,1.0750895694732512,1.8665445587729579,0.01334521919477425,0.34824643526959487,ONSV
sup_regular,Superficie regular,0.9998960847877495,0.7052069100574964,1.4177288482501627,0.9995345583943064,-0.00010392061181022875,ONSV
dist_ingemmet_km_log,Dist. INGEMMET (log),0.9349252045479866,0.8418369055351131,1.0383069836353667,0.20858427406476254,-0.06728874802907489,ONSV
dist_peajes_km_log,Dist. peaje (log),1.0478493312605621,0.9699715257231775,1.1319798487946178,0.2355430880828332,0.04673980768211485,ONSV
dist_cinemometros_km_log,Dist. cinemómetro (log),0.850687083096359,0.8023858703874117,0.9018958833330235,5.890178311448221e-08,-0.16171092296844955,ONSV
es_panamericana,Vía panamericana,0.8945628190215937,0.7635210268906517,1.048095087092432,0.1679852555132506,-0.11142015041473016,ONSV
es_ruta_nacional,Red nacional,1.0,1.0,1.0,,0.0,ONSV
long_km,long_km,1.0356469564610498,1.0314023270810457,1.0399090541733433,1.0083682552538041e-62,0.03502631014333889,ONSV
const,Intercepto,2.2295727903944402,1.2302720036410166,4.040565674058651,0.008215146197833253,0.801809993305268,SUTRAN
carriles,Carriles (+1),1.0451349263592276,0.9551360446139165,1.143614064672262,0.3366140287475021,0.044145993215235935,SUTRAN
vel_proy,Vel. proyecto (+10 km/h),1.0077219716063865,1.0017770130492916,1.013702210002992,0.010831854885793546,0.007692309784281983,SUTRAN
topografia_ondulado,Terreno ondulado,1.215248080550228,1.0163306900278009,1.4530978074081535,0.03255073015170971,0.19494823747312295,SUTRAN
topografia_montanoso,Terreno montañoso,1.3933395830487303,1.0885796301788202,1.783420468166851,0.008440824334042269,0.3317034433001681,SUTRAN
topografia_llanura,Terreno llano,1.0,0.9999999999999992,1.0000000000000007,0.9877176354682063,5.773283340523893e-18,SUTRAN
sup_buena,Superficie buena,1.3584911090282856,0.9691585272409015,1.9042272666813882,0.07537973896502125,0.3063746051652305,SUTRAN
sup_regular,Superficie regular,1.141474324671471,0.7522441963007671,1.7321019428154307,0.5340041822444117,0.1323206941122983,SUTRAN
dist_ingemmet_km_log,Dist. INGEMMET (log),0.9846093524972663,0.8907134862910384,1.0884033889078433,0.7616439468228229,-0.015510312924695464,SUTRAN
dist_peajes_km_log,Dist. peaje (log),1.0098542845181382,0.933399891566476,1.092571024674274,0.8071328041997552,0.0098060476905346,SUTRAN
dist_cinemometros_km_log,Dist. cinemómetro (log),0.8085991220500961,0.7635912847403806,0.8562598254411558,3.575839705374837e-13,-0.21245200754145785,SUTRAN
es_panamericana,Vía panamericana,1.1688702257226864,0.9925613451805886,1.376496889804251,0.06141973026096649,0.15603766325882168,SUTRAN
es_ruta_nacional,Red nacional,1.0,1.0,1.0,,0.0,SUTRAN
long_km,long_km,1.0161091716272694,1.006632235834581,1.0256753280000481,0.0008299436696601896,0.01598079577274045,SUTRAN
const,Intercepto,,,,,,COMBINADO
carriles,Carriles (+1),,,,,,COMBINADO
vel_proy,Vel. proyecto (+10 km/h),,,,,,COMBINADO
topografia_ondulado,Terreno ondulado,,,,,,COMBINADO
topografia_montanoso,Terreno montañoso,,,,,,COMBINADO
topografia_llanura,Terreno llano,,,,,,COMBINADO
sup_buena,Superficie buena,,,,,,COMBINADO
sup_regular,Superficie regular,,,,,,COMBINADO
dist_ingemmet_km_log,Dist. INGEMMET (log),,,,,,COMBINADO
dist_peajes_km_log,Dist. peaje (log),,,,,,COMBINADO
dist_cinemometros_km_log,Dist. cinemómetro (log),,,,,,COMBINADO
es_panamericana,Vía panamericana,,,,,,COMBINADO
es_ruta_nacional,Red nacional,,,,,,COMBINADO
long_km,long_km,,,,,,COMBINADO
alpha,alpha,2.861285777555157,,,,1.0512710963760241,COMBINADO
