fecha,anio,mes,dia_semana,hora3,fallecidos,CANTIDAD DE LESIONADOS,CLASE SINIESTRO,CAUSA FACTOR PRINCIPAL,SUPERFICIE DE CALZADA,TIPO DE VÍA,RED VIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon,"('ruta',)",km_red
2021-01-01,2021,1,4,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,VIRU,VIRU,-8.432617,-78.772242,PE-1N,514.4852664743818
2021-01-01,2021,1,4,0,1,0,CHOQUE CON OBJETO FIJO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.680472,-79.903582,PE-1N,796.1624853993976
2021-01-02,2021,1,5,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,YAULI,MOROCOCHA,-11.5916549,-76.0752901,PE-22,148.18848040437254
2021-01-02,2021,1,5,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,AZANGARO,AZANGARO,-14.92116,-70.204043,PE-34B,46.76047020918495
2021-01-03,2021,1,6,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LIMA,LIMA,VILLA EL SALVADOR,-12.225604,-76.971698,PE-1S,19.45963389083492
2021-01-03,2021,1,6,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,ASCOPE,CHICAMA,-7.84524,-79.150883,PE-1N,603.5389719964317
2021-01-03,2021,1,6,0,1,3,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LIMA,HUAURA,PACCHO,-10.88706939738808,-76.98079339602495,PE-18,90.19129461065046
2021-01-03,2021,1,6,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,CONCRETO,CARRETERA,NACIONAL,JUNIN,SATIPO,MAZAMARI,-11.299122793253288,-74.54719269575503,PE-5S,125.82367084953458
2021-01-03,2021,1,6,0,1,1,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,VIRU,VIRU,-8.42432,-78.781809,PE-1N,515.9030864224549
2021-01-04,2021,1,0,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,AREQUIPA,LA JOYA,-16.528801,-71.758877,PE-34A,2.7664708266644893
2021-01-04,2021,1,0,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ANCASH,CASMA,CASMA,-9.48456685315444,-78.27405272080628,PE-1N,371.210217488312
2021-01-04,2021,1,0,0,1,2,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,PACASMAYO,PACASMAYO,-7.41567,-79.548581,PE-1N,675.632010512886
2021-01-04,2021,1,0,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,CAMANA,SAMUEL PASTOR,-16.6066661330461,-72.6996068528726,PE-1S,833.0452715207646
2021-01-05,2021,1,1,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,APURIMAC,AYMARAES,COTARUSE,-14.51889722017264,-73.2761202903143,PE-30A,297.70632626541857
2021-01-05,2021,1,1,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LIMA,BARRANCA,SUPE,-10.788981442173975,-77.71142585156548,PE-1N,189.48843389521235
2021-01-06,2021,1,2,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,PUNO,HUANCANE,TARACO,-15.257925,-69.876396,PE-34H,41.39865945087588
2021-01-06,2021,1,2,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,HUANCAYO,CULLHUAS,-12.2348153,-75.1553866,PE-3S,146.549293501612
2021-01-07,2021,1,3,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,ANCASH,SANTA,SANTA,-9.004006503532352,-78.61846985128324,PE-1N,441.71323906689497
2021-01-08,2021,1,4,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ICA,ICA,PUEBLO NUEVO,-14.11280351736792,-75.71768884490805,PE-1S,303.30231800327687
2021-01-09,2021,1,5,0,2,0,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,CARAVELI,LOMAS,-15.296713,-74.915512,PE-1S,501.9102313971736
2021-01-09,2021,1,5,0,1,4,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LIMA,BARRANCA,PATIVILCA,-10.658884060554785,-77.6526383087629,PE-16A,18.945840818347012
2021-01-09,2021,1,5,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ICA,ICA,SAN JOSE DE LOS MOLINOS,-13.963668753161592,-75.69515216658996,PE-1SC,16.76150299535873
2021-01-10,2021,1,6,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,-6.145723,-79.718245,PE-1NJ,67.12660411551639
2021-01-10,2021,1,6,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LIMA,HUAURA,VEGUETA,-11.030083804634163,-77.5926482784233,PE-1N,158.38989605713124
2021-01-10,2021,1,6,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,SAN MARTIN,MOYOBAMBA,CALZADA,-6.039758,-77.060566,PE-5N,1067.9749061688374
2021-01-10,2021,1,6,0,1,0,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,-6.880811,-79.363869,PE-1NI,39.14894002387733
2021-01-10,2021,1,6,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,HUANUCO,HUANUCO,AMARILIS,-9.913026,-76.23101,PE-18A,5.234412924017731
2021-01-10,2021,1,6,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LIMA,HUARAL,CHANCAY,-11.605630713512038,-77.24177233479881,PE-1N,76.38501441802617
2021-01-11,2021,1,0,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.637867,-79.950015,PE-1N,803.1920312151892
2021-01-11,2021,1,0,0,1,2,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,TACNA,TARATA,TARATA,-17.4667790645833,-70.0345603030153,PE-38,91.28399608452116
2021-01-11,2021,1,0,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,TROCHA,CARRETERA,NACIONAL,CUSCO,ESPINAR,OCORURO,-14.9720021054264,-71.1823097310146,PE-34J,104.27615683763489
2021-01-11,2021,1,0,0,1,4,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LA LIBERTAD,ASCOPE,CHICAMA,-7.743064,-79.08115,PE-1NF,15.384299611341763
2021-01-11,2021,1,0,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.192137,-70.918786,PE-36A,9.05562325847836
2021-01-11,2021,1,0,0,1,1,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,SAN ROMAN,CABANA,-15.617333238431144,-70.32051956332245,PE-34A,275.3262111403581
2021-01-12,2021,1,1,0,1,1,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,-6.152203,-79.710059,PE-1NJ,65.96433331170114
