id,ruta,km0,km1,region,siniestros,fallecidos,onsv_n,sutran_n,ositran_n,siniestros_km,pred_km,eb_km,exceso_eb,exceso_relativo,p95_region,fuente_dominante,criterios,lat,lon
1803,PE-3N,1199.376,1196.946,SIERRA,1,4,1,0,0,-0.4115226337448452,0.01,0.02049810392538692,1.049810392538692,-42.15226337448452,5.026490400963105,ONSV,"{'p95': False, 'eb': True, 'residual': False}",-7.361744551499925,-78.1317745419999
66,PE-1S,905.9,907.611,SIERRA,9,4,3,1,5,5.260081823494993,5.260081823494993,5.260081823494993,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.39200251649993,-72.20351447299993
69,PE-1S,910.993,912.609,SIERRA,10,1,1,4,5,6.188118811881244,6.188118811881244,6.188118811881244,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.367732624999945,-72.16357976499992
287,PE-1N,42.758,42.874,COSTA,8,1000100,0,8,0,68.96551724137952,68.96551724137952,68.96551724137952,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.785798312499937,-77.15348749349994
231,PE-1N,36.019,36.233,COSTA,5,3,2,2,1,23.36448598130856,23.36448598130856,23.36448598130856,0.0,0.0,12.478043810208932,ONSV,"{'p95': True, 'eb': False, 'residual': False}",-11.833019562999937,-77.11403950249993
315,PE-34A,38.781,43.306,SIERRA,33,16,15,1,17,7.292817679558014,7.292817679558014,7.292817679558014,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.362474999999932,-71.57920999999993
333,PE-34A,82.427,94.508,SIERRA,65,19,9,11,45,5.380349308832055,5.380349308832055,5.380349308832055,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.089411735499937,-71.59081831549994
363,PE-1S,981.845,993.158,SIERRA,57,200100015,14,9,34,5.0384513391673345,5.0384513391673345,5.0384513391673345,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.687519423499936,-71.87082018049992
301,PE-1S,21.963,25.947,COSTA,62,999999999999999983222784,24,26,12,15.562248995983943,15.562248995983943,15.562248995983943,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.24720080949993,-76.93705052549993
423,PE-34A,205.945,210.702,SIERRA,34,10110100006,4,12,18,7.147361782636108,7.147361782636108,7.147361782636108,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.69527645249994,-70.81111634799993
439,PE-34A,154.118,165.867,SIERRA,60,11,9,8,43,5.106817601498002,5.106817601498002,5.106817601498002,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.865752732499942,-71.13315909899993
451,PE-34A,119.093,124.061,SIERRA,36,10000028,8,10,18,7.246376811594198,7.246376811594198,7.246376811594198,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.056366466499952,-71.34404031799991
457,PE-34A,177.784,188.03,SIERRA,54,1010,5,11,38,5.27034940464571,5.27034940464571,5.27034940464571,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.765682188499936,-70.96611835549993
480,PE-34A,63.579,67.67,SIERRA,22,6,3,4,15,5.377658274260571,5.377658274260571,5.377658274260571,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.226357150499922,-71.66193137349993
491,PE-34A,233.852,238.311,SIERRA,26,0,0,9,17,5.83090379008746,5.83090379008746,5.83090379008746,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.690839745499916,-70.62079908899995
493,PE-24A,207.299,208.253,SELVA,5,5,5,0,0,5.241090146750638,5.241090146750638,5.241090146750638,0.0,0.0,3.547021890759571,ONSV,"{'p95': True, 'eb': False, 'residual': False}",-11.244293990499926,-74.6355017969999
411,PE-34A,119.075,119.093,SIERRA,4,0,0,4,0,222.2222222222138,222.2222222222138,222.2222222222138,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.066831929499955,-71.36298928149992
513,PE-34A,0.0,4.072,SIERRA,27,100000003,3,9,15,6.630648330058939,6.630648330058939,6.630648330058939,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.52587620999995,-71.76661942049992
514,PE-34A,24.305,28.076,SIERRA,22,3,2,6,14,5.833996287456907,5.833996287456907,5.833996287456907,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.425449714499933,-71.66440612199992
517,PE-34A,128.84,138.538,SIERRA,58,14,9,13,36,5.980614559703027,5.980614559703027,5.980614559703027,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.00324847299993,-71.26785913849994
526,PE-34A,62.013,63.579,SIERRA,11,12,2,3,6,7.024265644955289,7.024265644955289,7.024265644955289,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.241632150499925,-71.67049137349991
580,PE-34B,290.728,291.855,SELVA,4,1,0,1,3,3.5492457852706,3.5492457852706,3.5492457852706,0.0,0.0,3.547021890759571,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-13.427168664999924,-70.37361310249992
