fecha,anio,mes,dia_semana,hora3,fallecidos,heridos,modalidad,depto,via_codigo,kilometro,lat,lon
2020-01-01,2020,1,2,0,0,0,DESPISTE,LIMA,PE-1S,24,-12.246584742503304,-76.93618987426358
2020-01-01,2020,1,2,0,0,0,DESPISTE,CAJAMARCA,PE-3N,74,-10.988632664696013,-76.0298140159235
2020-01-01,2020,1,2,0,0,5,DESPISTE,LIMA,PE-1N,174,-10.91694193899242,-77.66010963900744
2020-01-01,2020,1,2,0,0,1,CHOQUE,ICA,PE-1S,199,-13.48239984615401,-76.13863094744637
2020-01-01,2020,1,2,0,1,1,CHOQUE,ICA,PE-1S,201,-13.500408491038865,-76.14055886983967
2020-01-01,2020,1,2,0,0,1,ATROPELLO,HUANUCO,PE-3N,226,-9.990094944479155,-76.24346845917172
2020-01-01,2020,1,2,0,0,2,DESPISTE,AMAZONAS,PE-5N,263,-9.37826343089786,-75.03360779740137
2020-01-01,2020,1,2,0,0,0,CHOQUE,AREQUIPA,PE-1S,521,-15.456069300049853,-74.86692085264636
2020-01-01,2020,1,2,0,0,5,DESPISTE,LA LIBERTAD,PE-1N,732,-7.058083264723555,-79.57042450172128
2020-01-01,2020,1,2,0,0,2,DESPISTE,LA LIBERTAD,PE-1N,734,-7.044212393211083,-79.58239900161708
2020-01-02,2020,1,3,0,2,16,DESPISTE,AREQUIPA,PE-1SJ,6,-17.06408890182033,-71.72011740343434
2020-01-02,2020,1,3,0,2,1,DESPISTE,TACNA,PE-1SD,8,-16.670198169885573,-72.57000946314521
2020-01-02,2020,1,3,0,0,3,CHOQUE,AREQUIPA,PE-34E,18,-15.927779149849798,-71.37374471241274
2020-01-02,2020,1,3,0,0,0,ESPECIAL,AREQUIPA,PE-34A,34,-16.406894455496545,-71.60232009946931
2020-01-02,2020,1,3,0,1,0,ATROPELLO,LIMA,PE-1N,39,-11.81153439569187,-77.13042173959337
2020-01-02,2020,1,3,0,0,0,DESPISTE,LIMA,PE-1S,81,-12.639890900342412,-76.66894619223838
2020-01-02,2020,1,3,0,0,0,DESPISTE,LIMA,PE-1N,191,-10.82439974547155,-77.7007471042943
2020-01-02,2020,1,3,0,3,41,DESPISTE,PUNO,PE-34H,226,-14.32900856180956,-69.46626222165477
2020-01-02,2020,1,3,0,0,1,DESPISTE,AMAZONAS,PE-08B,294,-6.363163547451908,-77.92105094244381
2020-01-02,2020,1,3,0,0,2,DESPISTE,APURIMAC,PE-3S,370,-13.08493734413944,-74.22723005372004
2020-01-02,2020,1,3,0,0,0,CHOQUE,AREQUIPA,PE-1S,951,-16.481515495271488,-71.90513785084899
2020-01-03,2020,1,4,0,0,2,CHOQUE,LIMA,PE-1S,71,-12.570198805780503,-76.69642422185582
2020-01-03,2020,1,4,0,0,4,CHOQUE,LIMA,PE-1S,81,-12.639890900342412,-76.66894619223838
2020-01-03,2020,1,4,0,0,0,CHOQUE,LIMA,PE-1S,81,-12.639890900342412,-76.66894619223838
2020-01-03,2020,1,4,0,0,3,CHOQUE,LAMBAYEQUE,PE-1N,105,-11.41000137337292,-77.3830893537015
2020-01-03,2020,1,4,0,0,2,DESPISTE,ICA,PE-1S,192,-13.420166072049676,-76.13733472259989
2020-01-03,2020,1,4,0,0,0,DESPISTE,AYACUCHO,PE-28A,233,-13.355416214838,-74.766465279269
2020-01-03,2020,1,4,0,0,1,DESPISTE,ANCASH,PE-3N,388,-9.899706390295291,-76.9405823657208
2020-01-03,2020,1,4,0,0,2,CHOQUE,AREQUIPA,PE-1S,953,-16.482850876228902,-71.88891831664078
2020-01-04,2020,1,5,0,0,4,DESPISTE,JUNIN,PE-3S,37,-11.735716764101268,-75.7455294827613
2020-01-04,2020,1,5,0,0,2,CHOQUE,UCAYALI,PE-5N,41,-10.733377902461903,-75.26545126281104
2020-01-04,2020,1,5,0,0,2,CHOQUE,CAJAMARCA,PE-08B,45,-7.061731878739455,-78.29948696076289
2020-01-04,2020,1,5,0,0,1,DESPISTE,CAJAMARCA,PE-08A,62,-7.065189038029327,-78.6137163851645
2020-01-04,2020,1,5,0,0,2,DESPISTE,LAMBAYEQUE,PE-1N,829,-6.472558792443885,-80.10962815221993
2020-01-05,2020,1,6,0,0,6,CHOQUE,ICA,PE-28A,4,-13.67995800703454,-76.12353796613705
2020-01-05,2020,1,6,0,0,2,CHOQUE,LIMA,PE-1S,21,-12.233941721727907,-76.96055560500984
2020-01-05,2020,1,6,0,0,2,CHOQUE,LIMA,PE-20A,25,-11.78617811740354,-76.98312056734912
2020-01-05,2020,1,6,0,0,0,CHOQUE,JUNIN,PE-5S,45,-10.876895327888365,-74.98477749092497
2020-01-05,2020,1,6,0,0,2,DESPISTE,LIMA,PE-1S,54,-12.433065910990312,-76.75429624325714
2020-01-05,2020,1,6,0,0,5,CHOQUE,LIMA,PE-1N,83,-11.555918348742413,-77.26964221100262
2020-01-05,2020,1,6,0,0,2,CHOQUE,LIMA,PE-1N,106,-11.40837388842147,-77.39117391690948
2020-01-05,2020,1,6,0,0,0,DESPISTE,AREQUIPA,PE-34A,158,-15.876313756886848,-71.14759094840421
2020-01-05,2020,1,6,0,3,4,CHOQUE,ANCASH,PE-1N,309,-9.949463682453224,-78.21179772134653
2020-01-06,2020,1,0,0,0,0,CHOQUE,LIMA,PE-22,10,-12.014765915292111,-76.90390513720499
2020-01-06,2020,1,0,0,0,7,DESPISTE,LA LIBERTAD,PE-5N,20,-10.831369800683277,-75.29146856804354
2020-01-06,2020,1,0,0,0,0,DESPISTE,AYACUCHO,PE-28B,28,-13.01155624035744,-74.12240369045043
2020-01-06,2020,1,0,0,1,0,ATROPELLO,HUANCAVELICA,PE-3S,135,-12.154452673197264,-75.21737414495493
2020-01-06,2020,1,0,0,16,46,CHOQUE,AREQUIPA,PE-1S,571,-15.69636854946354,-74.51150743383263
2020-01-06,2020,1,0,0,0,1,DESPISTE,AREQUIPA,PE-1S,902,-16.414877375664208,-72.24116631900135
2020-01-06,2020,1,0,0,2,5,CHOQUE,AREQUIPA,PE-1S,988,-16.692018099290703,-71.87064469727024
2020-01-07,2020,1,1,0,0,1,CHOQUE,LIMA,PE-1S,29,-12.271264375020683,-76.89771906411094
2020-01-07,2020,1,1,0,0,2,ESPECIAL,HUANCAVELICA,PE-28A,124,-13.604602004186292,-75.31187792953601
2020-01-07,2020,1,1,0,1,0,CHOQUE,CUSCO,PE-3S,155,-12.286136022260148,-75.10549425421279
2020-01-07,2020,1,1,0,0,3,DESPISTE,ANCASH,PE-1N,246,-10.40379926547519,-77.97357161774444
2020-01-07,2020,1,1,0,0,6,DESPISTE,APURIMAC,PE-30A,283,-14.560207151436073,-73.39365471532108
2020-01-07,2020,1,1,0,0,1,DESPISTE,ANCASH,PE-1N,287,-10.11942413504733,-78.12951313843973
2020-01-07,2020,1,1,0,0,1,DESPISTE,ICA,PE-1S,315,-14.21472439876255,-75.70960798522643
2020-01-07,2020,1,1,0,0,2,CHOQUE,ANCASH,PE-3N,629,-9.18767150292918,-77.71499974696863
2020-01-07,2020,1,1,0,0,0,DESPISTE,AREQUIPA,PE-1S,872,-16.5292352858772,-72.4834219545551
2020-01-08,2020,1,2,0,0,1,DESPISTE,JUNIN,PE-22,15,-12.009110258062895,-76.86462725519605
2020-01-08,2020,1,2,0,2,4,DESPISTE,AREQUIPA,PE-34E,23,-15.890242652728162,-71.38016854582028
2020-01-08,2020,1,2,0,0,0,CHOQUE,LIMA,PE-1N,48,-11.746533717388017,-77.1427832539304
2020-01-08,2020,1,2,0,1,0,CHOQUE,HUANCAVELICA,PE-28A,80,-13.566242965586545,-75.53622479550833
2020-01-08,2020,1,2,0,0,2,DESPISTE,AREQUIPA,PE-34A,141,-15.97540547340345,-71.23018207092383
2020-01-08,2020,1,2,0,0,2,DESPISTE,PUNO,PE-34A,205,-15.710261864557385,-70.81635288482103
2020-01-08,2020,1,2,0,0,2,DESPISTE,HUANUCO,PE-3N,272,-9.891619153917302,-76.47723163554225
2020-01-09,2020,1,3,0,0,3,CHOQUE,CAJAMARCA,PE-06B,11,-6.62417385432131,-79.17266339362733
2020-01-09,2020,1,3,0,0,1,CHOQUE,AREQUIPA,PE-34A,88,-16.08524756822264,-71.59753155397208
2020-01-09,2020,1,3,0,0,4,CHOQUE,AREQUIPA,PE-34A,120,-16.060452023281886,-71.35842202328186
2020-01-09,2020,1,3,0,0,0,CHOQUE,JUNIN,PE-22,135,-11.59945645250592,-76.17882190241232
2020-01-09,2020,1,3,0,0,1,ESPECIAL,ANCASH,PE-1N,432,-9.145095154630145,-78.51315023859239
2020-01-09,2020,1,3,0,0,1,ESPECIAL,SAN MARTIN,PE-5N,634,-8.20931834186022,-76.48985248844635
2020-01-09,2020,1,3,0,0,5,DESPISTE,LA LIBERTAD,PE-1N,655,-7.493190150768722,-79.41364949232052
2020-01-10,2020,1,4,0,0,0,CHOQUE,TACNA,PE-1SD,28,-16.709830377680348,-72.43667432194448
2020-01-10,2020,1,4,0,0,5,DESPISTE,LIMA,PE-1S,70,-12.564491612551636,-76.70353879228901
2020-01-10,2020,1,4,0,0,1,DESPISTE,LIMA,PE-1S,129,-12.718464192723818,-76.62264499159544
2020-01-10,2020,1,4,0,1,4,DESPISTE,AREQUIPA,PE-34A,179,-15.764218560835296,-70.99473497219276
2020-01-10,2020,1,4,0,0,6,DESPISTE,AMAZONAS,PE-5N,264,-9.37090110094311,-75.03480394668844
2020-01-10,2020,1,4,0,0,0,ESPECIAL,LA LIBERTAD,PE-1N,506,-8.474150440212366,-78.70879689335314
2020-01-10,2020,1,4,0,0,4,CHOQUE,LA LIBERTAD,PE-1N,620,-7.760332885175515,-79.26757204082433
2020-01-11,2020,1,5,0,0,10,CHOQUE,AREQUIPA,PE-34E,20,-15.91322301423834,-71.3771122315171
2020-01-11,2020,1,5,0,0,2,ATROPELLO,LIMA,PE-1N,22,-11.9378101158105,-77.071652940994
2020-01-11,2020,1,5,0,0,2,ESPECIAL,LIMA,PE-1N,75,-11.613182867318375,-77.23179150617773
2020-01-11,2020,1,5,0,0,0,CHOQUE,LIMA,PE-22,87,-11.78573755939325,-76.33445596411033
2020-01-11,2020,1,5,0,0,0,DESPISTE,CUSCO,PE-28B,101,-12.804869817217105,-73.99282586851385
2020-01-11,2020,1,5,0,0,0,CHOQUE,JUNIN,PE-3S,124,-12.065672229476355,-75.21746714620619
2020-01-11,2020,1,5,0,0,0,CHOQUE,PUNO,PE-34H,131,-14.736741610912183,-69.62088822986983
2020-01-11,2020,1,5,0,0,1,CHOQUE,ICA,PE-1S,187,-13.412506419483764,-76.17985460496799
2020-01-11,2020,1,5,0,0,0,CHOQUE,LA LIBERTAD,PE-1N,518,-8.413170543522254,-78.79639097254264
2020-01-11,2020,1,5,0,0,1,CHOQUE,LAMBAYEQUE,PE-1N,768,-6.867067652913684,-79.81683900592715
2020-01-11,2020,1,5,0,0,0,CHOQUE,AREQUIPA,PE-1S,987,-16.682993038047282,-71.87082728244027
2020-01-11,2020,1,5,0,1,0,CHOQUE,CUSCO,PE-3S,993,-13.587120180094711,-71.80363067310361
2020-01-12,2020,1,6,0,1,1,CHOQUE,LAMBAYEQUE,PE-08,9,-7.305209032771205,-79.40063895535793
2020-01-12,2020,1,6,0,0,1,CHOQUE,LIMA,PE-1N,43,-11.784974397177368,-77.15432990082249
2020-01-12,2020,1,6,0,0,0,DESPISTE,LIMA,PE-1S,66,-12.533231153707272,-76.72128827591987
2020-01-12,2020,1,6,0,0,2,DESPISTE,ICA,PE-1S,199,-13.48239984615401,-76.13863094744637
2020-01-12,2020,1,6,0,0,0,CHOQUE,ICA,PE-1S,225,-13.70614189786825,-76.15149745123108
2020-01-12,2020,1,6,0,0,0,ESPECIAL,ANCASH,PE-1N,320,-9.929232190782535,-78.2200854209799
2020-01-12,2020,1,6,0,0,1,CHOQUE,AREQUIPA,PE-1S,576,-15.717539303462578,-74.47261015738457
2020-01-12,2020,1,6,0,0,6,DESPISTE,LA LIBERTAD,PE-1N,656,-7.484918114469372,-79.41757040974797
2020-01-12,2020,1,6,0,0,2,CHOQUE,CAJAMARCA,PE-3N,1814,-5.112729291620844,-79.4727368968245
2020-01-13,2020,1,0,0,0,0,CHOQUE,AMAZONAS,PE-5N,12,-10.88113799290691,-75.2769649114965
2020-01-13,2020,1,0,0,0,0,DESPISTE,JUNIN,PE-5S,12,-10.943693276175674,-75.21270161931544
2020-01-13,2020,1,0,0,0,0,DESPISTE,HUANUCO,PE-18A,50,-9.703497429080056,-76.08785883365138
2020-01-13,2020,1,0,0,0,0,DESPISTE,AREQUIPA,PE-34A,76,-16.154933917739758,-71.64488708409979
2020-01-13,2020,1,0,0,1,0,CHOQUE,LAMBAYEQUE,PE-06A,92,-6.555646452844876,-79.22320977591751
2020-01-14,2020,1,1,0,1,0,CHOQUE,LIMA,PE-1S,24,-12.246584742503304,-76.93618987426358
2020-01-14,2020,1,1,0,0,1,CHOQUE,LIMA,PE-1N,75,-11.613182867318375,-77.23179150617773
2020-01-14,2020,1,1,0,0,2,CHOQUE,PUNO,PE-34H,86,-14.935168507790744,-69.86844706220911
2020-01-14,2020,1,1,0,0,1,DESPISTE,HUANCAVELICA,PE-28A,114,-13.60822138467364,-75.34842628061585
2020-01-14,2020,1,1,0,0,0,DESPISTE,LIMA,PE-1S,125,-12.691485723558252,-76.64630842914163
2020-01-14,2020,1,1,0,0,0,DESPISTE,JUNIN,PE-22,145,-11.598390373717042,-76.09986900609309
2020-01-14,2020,1,1,0,0,0,DESPISTE,LIMA,PE-1N,201,-10.706244079386234,-77.77229231229641
2020-01-14,2020,1,1,0,1,5,DESPISTE,ANCASH,PE-1N,331,-9.794747917765644,-78.21003300553888
2020-01-14,2020,1,1,0,0,3,DESPISTE,CUSCO,PE-3S,970,-13.52714271432088,-71.98387139884275
2020-01-14,2020,1,1,0,0,2,CHOQUE,CUSCO,PE-3S,1009,-13.649496668963742,-71.68790685625908
2020-01-15,2020,1,2,0,0,0,CHOQUE,LIMA,PE-20A,6,-11.887597222291026,-77.04226389677784
2020-01-15,2020,1,2,0,0,1,DESPISTE,AMAZONAS,PE-5N,7,-10.91481897962098,-75.28636583995102
2020-01-15,2020,1,2,0,0,1,DESPISTE,LIMA,PE-1S,32,-12.285857745341351,-76.87447302295651
2020-01-15,2020,1,2,0,0,8,CHOQUE,JUNIN,PE-3S,37,-11.735716764101268,-75.7455294827613
2020-01-15,2020,1,2,0,1,1,ATROPELLO,LIMA,PE-1N,81,-11.571969039919331,-77.26346688953588
2020-01-15,2020,1,2,0,0,2,DESPISTE,LIMA,PE-1N,217,-10.610319450820022,-77.86933038311314
2020-01-15,2020,1,2,0,0,1,ATROPELLO,ICA,PE-1S,283,-13.954064295140578,-75.79204991262891
2020-01-15,2020,1,2,0,0,0,DESPISTE,AYACUCHO,PE-28A,313,-13.231889604183896,-74.29151341644457
2020-01-15,2020,1,2,0,0,0,CHOQUE,ANCASH,PE-1N,342,-9.72577111744347,-78.26773926152077
2020-01-15,2020,1,2,0,1,0,ATROPELLO,CUSCO,PE-3S,985,-13.552073205324804,-71.8683391356709
2020-01-16,2020,1,3,0,0,0,CHOQUE,LIMA,PE-1NA,20,-11.63246054786788,-77.21787541527529
