id_tramo,ruta,km0,km1,region,long_km,onsv_n,onsv_fallecidos,sutran_n,sutran_fallecidos,ositran_n,ositran_fallecidos,siniestros_total,fallecidos_total,siniestros_total_km,fallecidos_total_km,alertas_hist_n,alertas_hist_peso,dist_peajes_km
0,PE-5N,676.808,719.508,SELVA,42.700000000000045,0.0,0.0,1.0,0.0,30,66,31.0,0.0,0.7259953161592498,0.0,0.0,0.0,179.6043307401032
1,PE-5N,733.158,745.474,SELVA,12.316000000000031,0.0,0.0,1.0,0.0,9,19,10.0,0.0,0.8119519324455972,0.0,0.0,0.0,154.99579949640693
2,PE-1S,1176.78,1187.363,SIERRA,10.583000000000084,0.0,0.0,1.0,0.0,31,63,32.0,0.0,3.0237172824340686,0.0,0.0,0.0,21.82762622768849
3,PE-28A,84.792,84.889,SIERRA,0.0969999999999942,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.464977529906885
4,PE-26,8.328,12.1,COSTA,3.7720000000000002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.185862982852337
5,PE-34E,0.0,0.215,SIERRA,0.215,0.0,0.0,2.0,0.0,0,0,2.0,0.0,9.30232558139535,0.0,0.0,0.0,0.4554456784294429
6,PE-34C,65.978,83.319,SIERRA,17.341000000000008,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.95099486165241
7,PE-34C,32.137,40.872,SIERRA,8.735,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.35578920949712
8,PE-34C,58.967,65.978,SIERRA,7.010999999999996,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.09258701910232
9,PE-34C,40.872,44.906,SIERRA,4.033999999999999,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.90628164388989
10,PE-34I,0.0,5.012,SIERRA,5.012,0.0,0.0,1.0,0.0,0,0,1.0,0.0,0.19952114924181966,0.0,0.0,0.0,87.4941849438433
11,PE-34I,28.438,31.776,SIERRA,3.338000000000001,1.0,1.0,1.0,0.0,0,0,2.0,1.0,0.5991611743559015,0.2995805871779508,0.0,0.0,86.96379005251585
12,PE-5N,607.37,607.979,SELVA,0.6090000000000373,0.0,0.0,2.0,10.0,0,1,2.0,10.0,3.28407224958929,16.42036124794645,0.0,0.0,202.35972104567816
13,PE-32,194.47,200.822,SIERRA,6.352000000000004,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,70.45066552085204
14,PE-1NF,71.77,82.141,SIERRA,10.37100000000001,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59.59119140576495
15,PE-18B,7.376,14.198,SIERRA,6.822,1.0,1.0,0.0,0.0,0,0,1.0,1.0,0.1465845793022574,0.1465845793022574,0.0,0.0,36.53582079207274
16,PE-34I,82.243,87.615,SIERRA,5.372,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.11713393578147
17,PE-34I,87.615,87.616,SIERRA,0.0010000000000047748,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,78.13011714084404
18,PE-1NM,3.59,4.225,COSTA,0.6349999999999998,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.78212086405392
19,PE-24A,67.983,73.465,SIERRA,5.481999999999999,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.66460496993863
20,PE-08C,0.0,4.723,SELVA,4.723,1.0,1.0,0.0,0.0,0,0,1.0,1.0,0.21172983273343216,0.21172983273343216,0.0,0.0,31.840748839894104
21,PE-24,191.688,195.108,SIERRA,3.420000000000016,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.70284025974798
22,PE-18A,31.559,40.522,SIERRA,8.962999999999997,0.0,0.0,2.0,0.0,0,0,2.0,0.0,0.2231395738034141,0.0,0.0,0.0,42.82820775323928
23,PE-18A,53.209,53.954,SIERRA,0.7449999999999974,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.31541536676614
24,PE-18A,54.576,54.795,SIERRA,0.2190000000000012,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.97651838102578
25,PE-34H,135.749,142.323,SIERRA,6.574000000000012,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77.94439141403396
26,PE-3SC,2.637,8.768,SIERRA,6.131,5.0,5.0,0.0,0.0,0,0,5.0,5.0,0.8155276463872125,0.8155276463872125,0.0,0.0,6.11513721566218
27,PE-40,0.0,5.06,SIERRA,5.06,0.0,0.0,3.0,100.0,0,0,3.0,100.0,0.5928853754940712,19.762845849802375,0.0,0.0,37.11888987370556
28,PE-40,5.06,8.486,SIERRA,3.426000000000001,3.0,5.0,0.0,0.0,0,0,3.0,5.0,0.8756567425569174,1.459427904261529,0.0,0.0,38.18375031624682
29,PE-3N,180.703,209.873,SIERRA,29.169999999999987,2.0,2.0,0.0,0.0,20,36,22.0,2.0,0.7541995200548512,0.0685635927322592,0.0,0.0,10.040563301671344
30,PE-28E,19.826,24.929,SIERRA,5.102999999999998,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.207516503452688
31,PE-24A,5.757,39.611,SIERRA,33.854,1.0,2.0,0.0,0.0,0,0,1.0,2.0,0.0295386069592958,0.0590772139185916,0.0,0.0,38.57293654486077
32,PE-18A,14.54,25.227,SELVA,10.687000000000001,3.0,4.0,4.0,10.0,0,0,7.0,14.0,0.6550014035744361,1.3100028071488723,0.0,0.0,33.53615289317083
33,PE-18A,58.347,59.929,SIERRA,1.5820000000000007,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.93116996443449
34,PE-18A,52.132,53.209,SIERRA,1.0770000000000053,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,51.79794069303223
35,PE-18A,60.431,64.063,SIERRA,3.632000000000005,0.0,0.0,2.0,10.0,0,0,2.0,10.0,0.5506607929515411,2.7533039647577056,0.0,0.0,55.69703907248832
36,PE-3SW,32.383,48.175,SIERRA,15.791999999999994,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.26246414773203
37,PE-3N,1541.665,1546.811,SELVA,5.145999999999958,1.0,1.0,0.0,0.0,3,6,4.0,1.0,0.7773027594248023,0.19432568985620058,0.0,0.0,44.279139006612425
38,PE-3N,1507.129,1513.483,SIERRA,6.354000000000042,1.0,1.0,0.0,0.0,4,8,5.0,1.0,0.7869058860560225,0.1573811772112045,0.0,0.0,61.0466288088072
39,PE-3N,1487.754,1489.334,SIERRA,1.5800000000001546,1.0,1.0,0.0,0.0,1,2,2.0,1.0,1.2658227848100028,0.6329113924050014,0.0,0.0,69.71752027601538
40,PE-3N,1460.288,1468.338,SELVA,8.049999999999955,0.0,0.0,0.0,0.0,5,10,5.0,0.0,0.6211180124223638,0.0,0.0,0.0,71.87863485209378
41,PE-3N,1468.36,1473.525,SELVA,5.165000000000191,0.0,0.0,0.0,0.0,3,6,3.0,0.0,0.5808325266214693,0.0,0.0,0.0,72.57299260714079
42,PE-3N,1513.483,1516.405,SIERRA,2.9220000000000255,0.0,0.0,0.0,0.0,2,4,2.0,0.0,0.6844626967830194,0.0,0.0,0.0,59.05738083166833
43,PE-3N,1489.429,1490.59,SIERRA,1.1609999999998308,1.0,1.0,0.0,0.0,1,1,2.0,1.0,1.722652885443834,0.861326442721917,0.0,0.0,69.78460799112368
44,PE-3N,1491.464,1502.034,SIERRA,10.570000000000164,0.0,0.0,0.0,0.0,7,13,7.0,0.0,0.6622516556291288,0.0,0.0,0.0,66.77010739937525
45,PE-3N,1516.405,1522.081,SELVA,5.675999999999931,0.0,0.0,0.0,0.0,4,7,4.0,0.0,0.7047216349542017,0.0,0.0,0.0,57.29117476411875
46,PE-3N,1473.525,1487.754,SIERRA,14.228999999999814,0.0,0.0,0.0,0.0,10,18,10.0,0.0,0.7027900766041275,0.0,0.0,0.0,70.34778258917923
47,PE-3N,1546.811,1549.408,SELVA,2.59699999999998,0.0,0.0,0.0,0.0,2,3,2.0,0.0,0.7701193685021238,0.0,0.0,0.0,42.33105851268319
48,PE-3N,1522.081,1541.665,SELVA,19.58400000000006,0.0,0.0,0.0,0.0,13,24,13.0,0.0,0.6638071895424816,0.0,0.0,0.0,50.79446289348856
49,PE-3N,1502.034,1507.129,SIERRA,5.0949999999998,0.0,0.0,0.0,0.0,3,6,3.0,0.0,0.588812561334665,0.0,0.0,0.0,63.25242515027465
50,PE-28B,534.696,538.902,SIERRA,4.206000000000017,2.0,6.0,0.0,0.0,0,0,2.0,6.0,0.4755111745125991,1.4265335235377974,0.0,0.0,116.11226270825466
51,PE-34J,72.263,78.662,SIERRA,6.399000000000001,1.0,1.0,0.0,0.0,0,0,1.0,1.0,0.1562744178777934,0.1562744178777934,0.0,0.0,69.27307605489048
52,PE-34J,67.936,70.571,SIERRA,2.634999999999991,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,71.36289999431371
53,PE-10B,86.879,98.158,SIERRA,11.278999999999996,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,139.330920104285
54,PE-10B,81.374,86.879,SELVA,5.50500000000001,1.0,1.0,1.0,1.0,0,0,2.0,2.0,0.36330608537692943,0.36330608537692943,0.0,0.0,135.75824618655028
55,PE-3N,921.503,961.963,SIERRA,40.45999999999992,1.0,1.0,0.0,0.0,27,50,28.0,1.0,0.6920415224913508,0.024715768660405386,0.0,0.0,92.45918237286368
56,PE-08,0.0,18.568,COSTA,18.568,14.0,14.0,6.0,100000.0,76,131,96.0,100014.0,5.170185264971995,5386.363636363636,0.0,0.0,6.302369705367005
57,PE-28B,660.777,681.207,SIERRA,20.42999999999995,3.0,4.0,0.0,0.0,0,0,3.0,4.0,0.14684287812041152,0.1957905041605487,0.0,0.0,111.25736468979738
58,PE-28B,553.873,558.826,SIERRA,4.9529999999999745,2.0,4.0,1.0,0.0,0,0,3.0,4.0,0.605693519079349,0.8075913587724652,0.0,0.0,117.01396588197912
59,PE-28B,558.826,600.351,SIERRA,41.52499999999998,10.0,19.0,0.0,0.0,0,0,10.0,19.0,0.2408187838651416,0.45755568934376906,0.0,0.0,113.630776555114
60,PE-28B,638.044,643.648,SIERRA,5.604000000000042,1.0,1.0,0.0,0.0,0,0,1.0,1.0,0.1784439685938602,0.1784439685938602,0.0,0.0,128.54052036070576
61,PE-28B,658.064,660.687,SIERRA,2.6230000000000473,0.0,0.0,1.0,0.0,0,0,1.0,0.0,0.38124285169652383,0.0,0.0,0.0,117.4754942650485
62,PE-24A,73.465,106.789,SIERRA,33.324,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,60.96648019539336
63,PE-28G,7.409,20.878,SIERRA,13.469000000000001,3.0,4.0,1.0,0.0,0,0,4.0,4.0,0.2969782463434553,0.2969782463434553,0.0,0.0,126.99025770996832
64,PE-14B,20.785,22.376,SIERRA,1.591000000000001,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64.91651836935604
65,PE-1N,450.49,493.899,COSTA,43.40899999999999,24.0,30.0,0.0,0.0,161,601,185.0,30.0,4.261789029924671,0.6911009237715683,0.0,0.0,36.31377479632694
66,PE-1S,905.9,907.611,SIERRA,1.7110000000000127,3.0,4.0,1.0,0.0,5,10,9.0,4.0,5.260081823494993,2.3378141437755526,0.0,0.0,43.874421307922994
67,PE-1S,875.821,882.571,SIERRA,6.75,2.0,3.0,0.0,0.0,20,40,22.0,3.0,3.259259259259259,0.4444444444444444,0.0,0.0,26.877563585235865
68,PE-1S,948.055,953.035,SIERRA,4.980000000000018,3.0,3.0,7.0,0.0,15,30,25.0,3.0,5.020080321285122,0.6024096385542147,0.0,0.0,25.61877573951656
69,PE-1S,910.993,912.609,SIERRA,1.6159999999999854,1.0,1.0,4.0,0.0,5,10,10.0,1.0,6.188118811881244,0.6188118811881244,0.0,0.0,48.26833630736267
70,PE-1S,901.178,905.9,SIERRA,4.72199999999998,2.0,2.0,3.0,0.0,14,28,19.0,2.0,4.023718763235934,0.42354934349851936,0.0,0.0,41.15061917091968
71,PE-1S,912.609,923.118,SIERRA,10.509000000000015,4.0,4.0,6.0,410000.0,31,63,41.0,410004.0,3.901417832334184,39014.55894947183,0.0,0.0,49.17642539497381
72,PE-1S,923.118,926.273,SIERRA,3.1549999999999727,0.0,0.0,5.0,0.0,9,19,14.0,0.0,4.4374009508716705,0.0,0.0,0.0,46.34354778435072
73,PE-1S,843.586,847.328,COSTA,3.741999999999962,2.0,2.0,2.0,0.0,11,22,15.0,2.0,4.008551576696995,0.5344735435595993,0.0,0.0,0.7038326991472666
74,PE-1S,850.879,852.798,COSTA,1.9189999999999827,0.0,0.0,5.0,1.0,6,11,11.0,1.0,5.732152162584731,0.5211047420531574,0.0,0.0,5.557637650721421
