id_tramo,ruta,km0,km1,dpto,region,clasifica,topografia,carriles,vel_proy,superficie,lon0,lat0,lon1,lat1,long_km,onsv_n,onsv_fallecidos,onsv_multiples,sutran_n,sutran_fallecidos,lon_mid,lat_mid,dist_ingemmet_km,ingemmet_c5km,dist_peajes_km,dist_cinemometros_km,cinemometros_c2km,cinemometros_c10km,siniestros_km,fallecidos_km
0,PE-5N,676.808,719.508,SAN MARTIN,SELVA,LONGITUDINAL DE LA SELVA,MONTAÑOSO,2.0,32.27,Buena,-76.6497463529999,-8.008693788999949,-76.67244387599993,-7.757010623999918,42.700000000000045,0,0,0,8,0,-76.66109511449991,-7.882852206499933,1.487118597245455,9.0,179.6043307401032,232.21456071976027,0.0,0.0,0.0,0.0
1,PE-5N,733.158,745.474,SAN MARTIN,SELVA,LONGITUDINAL DE LA SELVA,MONTAÑOSO,2.0,32.27,Buena,-76.6692220299999,-7.694277388999922,-76.67716542699992,-7.607111307999958,12.316000000000033,0,0,0,5,2,-76.67319372849991,-7.65069434849994,0.6128576807973033,18.0,154.99579949640693,241.8743882737437,0.0,0.0,0.0,0.0
2,PE-1S,1176.78,1187.363,MOQUEGUA,SIERRA,LONGITUDINAL DE LA COSTA,PLANO,2.0,78.24,Buena,-71.07348098999995,-17.51284415899994,-71.02675249399994,-17.590476156999955,10.583000000000084,0,0,0,4,1,-71.05011674199994,-17.551660157999947,6.50131081165792,0.0,21.827626227688498,3.6246851594308205,0.0,563.0,0.0,0.0
3,PE-28A,84.792,84.889,ICA,SIERRA,TRANSVERSAL,ONDULADO,2.0,75.08,Buena,-75.5117633079999,-13.588476227999934,-75.5111819519999,-13.589113784999938,0.0969999999999942,0,0,0,0,0,-75.5114726299999,-13.588795006499936,0.2649382718938132,13.0,6.464977529906885,70.12766120695635,0.0,0.0,0.0,0.0
4,PE-26,8.328,12.1,ICA,COSTA,TRANSVERSAL,PLANO,2.0,62.03,Buena,-76.08328153199994,-13.41274650999992,-76.04313490499993,-13.402277237999954,3.772,0,0,0,0,0,-76.06320821849994,-13.407511873999937,5.6928138968273645,0.0,15.185862982852337,22.344494569840847,0.0,0.0,0.0,0.0
5,PE-34E,0.0,0.215,AREQUIPA,SIERRA,RAMAL,ONDULADO,2.0,66.89,Regular,-71.41052999999994,-16.054859999999906,-71.40942192099993,-16.05320167499991,0.215,0,0,0,0,0,-71.40997596049993,-16.05403083749991,2.552282815728548,2.0,0.4554456784294429,36.400434074024254,0.0,0.0,0.0,0.0
6,PE-34C,65.978,83.319,AREQUIPA,SIERRA,VARIANTE,MONTAÑOSO,1.0,33.43,Mala,-71.25442633699993,-16.369158415999948,-71.1506312109999,-16.316277464999928,17.341000000000008,0,0,0,0,0,-71.20252877399992,-16.342717940499938,5.975824734404207,0.0,38.95099486165241,51.991336214445866,0.0,0.0,0.0,0.0
7,PE-34C,32.137,40.872,AREQUIPA,SIERRA,VARIANTE,ONDULADO,1.0,34.85,Mala,-71.38728999999995,-16.407189999999957,-71.35532999999992,-16.386969999999906,8.735,0,0,0,0,0,-71.37130999999994,-16.39707999999993,0.7574899790717335,5.0,32.35578920949712,36.69019650997426,0.0,0.0,0.0,0.0
8,PE-34C,58.967,65.978,AREQUIPA,SIERRA,VARIANTE,MONTAÑOSO,5.0,33.43,Mala,-71.30533019699993,-16.37983821599994,-71.25442633699993,-16.369158415999948,7.010999999999996,0,0,0,0,0,-71.27987826699993,-16.374498315999944,0.9248200458900337,8.0,38.09258701910232,44.84983503160326,0.0,0.0,0.0,0.0
9,PE-34C,40.872,44.906,AREQUIPA,SIERRA,VARIANTE,ONDULADO,1.0,40.84,Regular,-71.35532999999992,-16.386969999999906,-71.34174532999992,-16.38557799499995,4.033999999999999,0,0,0,0,0,-71.34853766499992,-16.386273997499927,0.7485959839665568,11.0,34.90628164388989,38.412292709434425,0.0,0.0,0.0,0.0
10,PE-34I,0.0,5.012,PUNO,SIERRA,RAMAL,PLANO,2.0,75.08,Buena,-69.82865753499993,-15.235277956999935,-69.78759370799992,-15.214088273999948,5.012,0,0,0,2,0,-69.80812562149993,-15.224683115499943,2.1187897711907486,5.0,87.4941849438433,48.870067102390564,0.0,0.0,0.0,0.0
