CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,lat,lon,fecha,fallecidos,"('ruta',)",km_red,dist_linea_km,tramo_km0,tramo_km1
A-2021-01-39,01/01/2021,07:00,CHOQUE,1,0,2.0,LA LIBERTAD,VIRU,VIRU,RURAL,CARRETERA,NACIONAL,PE-1N,-8.432617,-78.772242,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,-8.432617,-78.772242,2021-01-01,1,PE-1N,514.4852664743818,0.005292212564840857,510.72,515.128
A-2021-01-67,01/01/2021,21:00,CHOQUE CON OBJETO FIJO,1,0,1.0,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,-6.680472,-79.903582,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-6.680472,-79.903582,2021-01-01,1,PE-1N,796.1624853993976,0.08747329778654583,795.961,815.315
A-2021-01-26,02/01/2021,09:40,CHOQUE,1,1,2.0,JUNIN,YAULI,MOROCOCHA,URBANA,CARRETERA,NACIONAL,PE-22,-11.5916549,-76.0752901,DESPEJADO,COMERCIAL,OTRO,INCLINADA,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.5916549,-76.0752901,2021-01-02,1,PE-22,148.18848040437254,0.0008644294292232887,138.723,150.565
A-2021-01-226,02/01/2021,13:00,CHOQUE,1,0,2.0,PUNO,AZANGARO,AZANGARO,RURAL,CARRETERA,NACIONAL,PE-34B,-14.92116,-70.204043,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-14.92116,-70.204043,2021-01-02,1,PE-34B,46.76047020918495,0.00024353895898447108,45.046,48.817
A-2021-01-258,03/01/2021,00:35,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,NACIONAL,PE-1S,-12.225604,-76.971698,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.225604,-76.971698,2021-01-03,1,PE-1S,19.459633890834922,0.004803535847043838,19.067,20.144
A-2021-01-40,03/01/2021,09:30,CHOQUE,1,1,2.0,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1N,-7.84524,-79.150883,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,-7.84524,-79.150883,2021-01-03,1,PE-1N,603.5389719964317,0.32024898882749564,598.402,604.125
A-2021-01-17,03/01/2021,16:10,DESPISTE,1,3,1.0,LIMA,HUAURA,PACCHO,RURAL,CARRETERA,NACIONAL,PE-18,-10.88706939738808,-76.98079339602495,LLUVIOSO,RURAL,SINUOSA,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-10.88706939738808,-76.98079339602495,2021-01-03,1,PE-18,90.19129461065046,0.0029675990852020915,80.669,91.904
A-2021-01-64,03/01/2021,20:50,ATROPELLO,1,0,1.0,JUNIN,SATIPO,MAZAMARI,RURAL,CARRETERA,NACIONAL,PE-5S,-11.299122793253288,-74.54719269575503,NUBLADO,RURAL,CURVA,PLANA ,CONCRETO,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.299122793253288,-74.54719269575503,2021-01-03,1,PE-5S,125.82367084953458,0.002758731728257412,123.537,129.796
A-2021-01-41,03/01/2021,21:15,ATROPELLO,1,1,1.0,LA LIBERTAD,VIRU,VIRU,URBANA,CARRETERA,NACIONAL,PE-1N,-8.42432,-78.781809,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-8.42432,-78.781809,2021-01-03,1,PE-1N,515.9030864224549,0.007696375797777757,515.128,520.188
A-2021-01-62,04/01/2021,04:30,CHOQUE,1,1,2.0,AREQUIPA,AREQUIPA,LA JOYA,RURAL,CARRETERA,NACIONAL,PE-34A,-16.528801,-71.758877,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-16.528801,-71.758877,2021-01-04,1,PE-34A,2.7664708266644893,0.004341479993784673,0.0,4.072
A-2021-01-37,04/01/2021,07:20,CHOQUE,1,1,2.0,ANCASH,CASMA,CASMA,RURAL,CARRETERA,NACIONAL,PE-1N,-9.48456685315444,-78.27405272080628,DESPEJADO,RURAL,INTERSECCIÓN,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,-9.48456685315444,-78.27405272080628,2021-01-04,1,PE-1N,371.210217488312,0.0025977736448990923,371.126,381.103
A-2021-01-42,04/01/2021,20:45,CHOQUE,1,2,2.0,LA LIBERTAD,PACASMAYO,PACASMAYO,RURAL,CARRETERA,NACIONAL,PE-1N,-7.41567,-79.548581,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,-7.41567,-79.548581,2021-01-04,1,PE-1N,675.632010512886,0.0020222121327652044,674.149,684.193
A-2021-01-332,04/01/2021,21:30,CHOQUE,1,1,2.0,AREQUIPA,CAMANA,SAMUEL PASTOR,URBANA,CARRETERA,NACIONAL,PE-1S,-16.6066661330461,-72.6996068528726,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-16.6066661330461,-72.6996068528726,2021-01-04,1,PE-1S,833.0452715207646,0.0027420143279029844,831.614,834.646
A-2021-01-29,05/01/2021,17:00,ATROPELLO,1,0,0.0,APURIMAC,AYMARAES,COTARUSE,RURAL,CARRETERA,NACIONAL,PE-30A,-14.51889722017264,-73.2761202903143,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),PREVENTIVA (P),NO,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),-14.51889722017264,-73.2761202903143,2021-01-05,1,PE-30A,297.70632626541857,0.0027989725973772963,296.311,310.113
A-2021-01-25,05/01/2021,23:00,ATROPELLO FUGA,1,0,0.0,LIMA,BARRANCA,SUPE,URBANA,CARRETERA,NACIONAL,PE-1N,-10.788981442173975,-77.71142585156548,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-10.788981442173975,-77.71142585156548,2021-01-05,1,PE-1N,189.48843389521235,0.005853727874981804,188.526,198.789
A-2021-01-231,06/01/2021,06:05,ATROPELLO,1,0,1.0,PUNO,HUANCANE,TARACO,RURAL,CARRETERA,NACIONAL,PE-34H,-15.257925,-69.876396,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),PREVENTIVA (P),SI,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),-15.257925,-69.876396,2021-01-06,1,PE-34H,41.39865945087588,0.01094843074584818,40.045,45.083
