anio,mes,entidad,concesion,siglas,tipo,causa,TIPO_TRANSPORTE,TIPO_VEHICULO,CLIMA,tipo_via,ruta,tramo,CANTIDAD VEHINVOLUCRADOS,CANTIDAD AFECTADOS,CANTIDAD ACCIDENTES,cant_accidentes,cant_afectados,cant_vehinvolucrados
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,INVASIÓN CARRIL CONTRARIO,,,SIN INFO,AUTOPISTA,SIN INFO,CHAO - VIRÚ,2,2,1,1,2,2
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,INVASIÓN CARRIL CONTRARIO,,,SIN INFO,MULTICARRIL,SIN INFO,CASMA - CHIMBOTE,2,6,1,1,6,2
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,EXCESO DE VELOCIDAD,,,SIN INFO,AUTOPISTA,SIN INFO,SANTA - CHAO,1,1,1,1,1,1
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,EXCESO DE VELOCIDAD,,,SIN INFO,AUTOPISTA,SIN INFO,CHAO - VIRÚ,1,1,1,1,1,1
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,EXCESO DE VELOCIDAD,,,SIN INFO,MULTICARRIL,SIN INFO,CHAO - VIRÚ,1,1,1,1,1,1
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,CONDUCTOR EXHAUSTO,,,SIN INFO,AUTOPISTA,SIN INFO,VIRÚ - CRUCE SALAVERRY,2,2,1,1,2,2
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,CONDUCTOR EXHAUSTO,,,SIN INFO,AUTOPISTA,SIN INFO,VIRÚ - CRUCE SALAVERRY,2,2,1,1,2,2
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,CONDUCTOR EXHAUSTO,,,SIN INFO,AUTOPISTA,SIN INFO,SANTA - CHAO,1,1,1,1,1,1
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,CONDUCTOR EXHAUSTO,,,SIN INFO,AUTOPISTA,SIN INFO,HUARMEY - CASMA,2,2,1,1,2,2
2019,1,AUTOPISTA DEL NORTE S.A.C.,Red vial N° 4: Tramos viales Pativilca - Santa - Trujillo y Puerto Salaverry - Empalme R01N,RV4,DESPISTE,CONDUCTOR EXHAUSTO,,,SIN INFO,AUTOPISTA,SIN INFO,PATIVILCA - HUARMEY,2,2,1,1,2,2
