anio,mes,entidad,concesion,siglas,peaje,clase,TIPO_TARIFA,tipo_vehiculo,TIPO_EJE_VEH,NRO_EJES,CANTIDAD VEHICULOS,cant_vehiculos
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Pacanguilla,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,4 ejes,6198,6198
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Bayovar,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,2 ejes,6792,6792
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Sullana,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,7 ejes,83,83
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Mórrope,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,7 ejes,8,8
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Chicama,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,3 ejes,7519,7519
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Chicama,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,6 ejes,2427,2427
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Chicama,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,4 ejes,369,369
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Mórrope,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,2 ejes,300,300
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Bayovar,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,3 ejes,11420,11420
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Sullana,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,5 ejes,2576,2576
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Mórrope,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,4 ejes,34,34
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Pacanguilla,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,6 ejes,2734,2734
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Chicama,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,5 ejes,6739,6739
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Bayovar,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,5 ejes,3276,3276
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Bayovar,EXONERADOS,SIN ESPECIFICAR,SIN ESPECIFICAR,EJE VEHICULO DIFERENCIADO,,812,812
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Sullana,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,7 ejes,276,276
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Chicama,EXONERADOS,SIN ESPECIFICAR,SIN ESPECIFICAR,EJE VEHICULO DIFERENCIADO,,2706,2706
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Mórrope,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,3 ejes,6610,6610
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Sullana,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,2 ejes,1184,1184
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Bayovar,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,7 ejes,138,138
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Sullana,PAGANTES,Tarifa Normal,PESADO,EJE VEHICULO,6 ejes,17019,17019
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Chicama,PAGANTES,Tarifa Normal,LIGERO,EJE VEHICULO,Ligeros,170057,170057
2019,1,CONCESIONARIA VIAL DEL SOL S.A.,Autopista del Sol  Tramo Trujillo-Sullana,ASO,Pacanguilla,PAGANTES,Tarifa No Efectivo Telepass,PESADO,EJE VEHICULO,5 ejes,476,476
