siglas,tramo,accidentes_2019_2025,lon0,lat0,lon1,lat1,longitud_km
ASO,CASERIO MALA VIDA - CHICLAYO,1,-80.60165,-5.48011,-79.83872,-6.77161,166.55
ASO,CHICLAYO-PIURA,4,-79.83872,-6.77161,-80.33333,-5.0,204.45
ASO,EL MILAGRO- OV. EL HUANCHACO,2,-78.55816,-5.63762,-79.07039,-8.0098,269.77
ASO,LA ARENITA-PAIJAN,1,-79.30921,-7.27689,-78.99144,-8.15837,104.08
ASO,PAIJAN-CHOCOPE,1,-78.99144,-8.15837,-79.223,-7.78466,48.75
ASO,PIURA - CHICLAYO,5,-80.33333,-5.0,-79.83872,-6.77161,204.45
DAM,DV.Ilo-Tacna,9,-71.2208,-17.66151,-70.2511,-18.01386,109.86
DAM,Dv. Ilo -  Tacna,5,-71.2208,-17.66151,-70.2511,-18.01386,109.86
DAM,Dv. Ilo - Tacna,223,-71.2208,-17.66151,-70.2511,-18.01386,109.86
DAM,Dv. Ilo-Tacna,1,-71.2208,-17.66151,-70.2511,-18.01386,109.86
IC2,HUANCAYO-OROYA,326,-75.2101,-12.0681,-75.66234,-13.61687,179.06
IC2,LIMA-OROYA,4804,-77.03059,-12.04598,-75.66234,-13.61687,229.16
IC2,OROYA-HUANCAYO,1115,-75.66234,-13.61687,-75.2101,-12.0681,179.06
IC2,OROYA-LIMA,1210,-75.66234,-13.61687,-77.03059,-12.04598,229.16
INO,CORONTACHACA - PEDRO RUIZ,28,-77.87952,-6.22011,-77.98245,-5.93177,34.02
INO,EL TINGO - CORONTACHACA,63,-79.057,-7.01499,-77.87952,-6.22011,157.25
INO,LAMBAYEQUE - DV. OLMOS,26,-80.0,-6.33333,-79.65616,-5.94743,57.33
INO,Motupe - Dv. Olmos,1,-79.71707,-6.15443,-79.65616,-5.94743,23.98
INO,TARAPOTO (ÓVALO MARGINAL) - PONGO CAINARACHI,333,-76.35987,-6.48772,-76.28017,-6.31248,21.38
INO,ÓVALO CÁCERES - PAITA (PUERTA MUELLE),193,-80.64903,-5.18477,-81.03188,-5.10892,43.23
IS1,CUSCO - URCOS,44,-72.5,-12.5,-71.58819,-13.67831,164.07
IS1,Cusco - Urcos (Vi¿a de Evitamiento Urcos ),2,-72.5,-12.5,-71.58819,-13.67831,164.07
IS1,EMP. PANAMERICANA SUR - DESV. NAZCA,150,-75.9067,-13.93218,-74.99854,-14.80499,137.8
IS1,SAN JUAN DE MARCONA - EMP. PANAMERICANA SUR,113,-75.13509,-15.31135,-75.9067,-13.93218,174.39
IS1,Sector 2: Emp. Panamericana - Nasca,2,-75.9067,-13.93218,-75.08057,-14.92355,141.66
IS1,Sector 9: Cusco-Urcos,2,-72.5,-12.5,-71.58819,-13.67831,164.07
IS2,MARCAPATA - QUINCEMIL,264,-70.91948,-13.63308,-70.78577,-13.28342,41.48
IS2,OCONGATE - MARCAPATA,332,-71.26959,-13.68369,-70.91948,-13.63308,38.25
IS2,URCOS - OCONGATE,249,-71.58819,-13.67831,-71.26959,-13.68369,34.43
IS4,Azángaro - Macusani,26,-70.15175,-14.80016,-70.42952,-14.06745,86.79
IS4,MACUSANI - OLLACHEA,157,-70.42952,-14.06745,-70.4722,-13.79403,30.75
IS4,OLLACHEA - SAN GABAN,221,-70.4722,-13.79403,-70.40948,-13.4562,38.17
IS4,Ollachea - San Gabán,2,-70.4722,-13.79403,-70.40948,-13.4562,38.17
IS5,DV. AREQUIPA-UCHUMAYO-YURA,408,-71.67315,-16.42603,-71.61407,-16.16021,30.22
IS5,DV. AREQUPA-UCHUMAYO-YURA,5,-71.67315,-16.42603,-71.61407,-16.16021,30.22
IS5,DV.AREQUIPA-UCHUMAYO -YURA,3,-71.67315,-16.42603,-71.61407,-16.16021,30.22
IS5,DV.AREQUIPA-UCHUMAYO-YURA,11,-71.67315,-16.42603,-71.61407,-16.16021,30.22
IS5,HUMAJALSO-PUENTE GALLATINI,4,-70.53368,-16.85492,-70.34737,-16.4767,46.5
IS5,HUMAJALSO-TORATA,1,-70.53368,-16.85492,-70.68808,-16.97952,21.49
IS5,IMATA-SANTA LUCIA,25,-71.09124,-15.83806,-70.61337,-15.68826,53.78
IS5,IMATA-SANTA LUCÍA,458,-71.09124,-15.83806,-70.61337,-15.68826,53.78
IS5,JULIACA-CALAPUJA,32,-70.13562,-15.49323,-70.22177,-15.31015,22.35
IS5,PATAHUASI - IMATA,2,-71.41318,-16.05673,-71.09124,-15.83806,42.14
IS5,PATAHUASI -IMATA,8,-71.41318,-16.05673,-71.09124,-15.83806,42.14
IS5,PATAHUASI-IMATA,333,-71.41318,-16.05673,-71.09124,-15.83806,42.14
IS5,PUENTE GALLATINI-PUNO,6,-70.34737,-16.4767,-70.0,-15.0,168.36
IS5,PUNO - JULIACA (SEGUNDA CALZADA),1,-70.0,-15.0,-70.13562,-15.49323,56.74
IS5,PUNO-JULIACA,250,-70.0,-15.0,-70.13562,-15.49323,56.74
IS5,REPARTICIÓN -(EMP. PANAMERICANA SUR) DV. MOQUEGUA,1,-77.07345,-11.14779,-75.9067,-13.93218,334.5
IS5,REPARTICÍON -(EMP.PANAM-SUR)-DV MOQUEGUA,3,-74.36348,-15.80228,-74.94436,-14.82803,124.97
IS5,SANTA LUCIA - JULIACA,236,-70.61337,-15.68826,-70.13562,-15.49323,55.57
IS5,SANTA LUCIA -JULIACA,3,-70.61337,-15.68826,-70.13562,-15.49323,55.57
IS5,SANTA LUCIA-JULIACA,6,-70.61337,-15.68826,-70.13562,-15.49323,55.57
IS5,SANTA LUCÍA-JULIACA,37,-70.61337,-15.68826,-70.13562,-15.49323,55.57
IS5,SEGUNDA CALZADA - PUNO - JULIACA,2,-70.0,-15.0,-70.13562,-15.49323,56.74
IS5,TORATA - HUMAJALSO,4,-70.68808,-16.97952,-70.53368,-16.85492,21.49
IS5,TORATA- HUMAJALSO,3,-70.68808,-16.97952,-70.53368,-16.85492,21.49
IS5,TORATA-HUMAJALSO,331,-70.68808,-16.97952,-70.53368,-16.85492,21.49
IS5,YURA-PATAHUASI,394,-71.61407,-16.16021,-71.41318,-16.05673,24.35
LS2,CHOTA-HUALGAYOC,185,-78.84133,-6.50906,-78.53146,-6.70872,40.8
LS2,Dv. Chilete-Emp PE-3N,116,-77.02369,-12.10438,-77.01412,-11.87668,25.34
LS2,Sausacocha-Huamachuco,24,-77.98409,-7.80237,-78.04871,-7.81547,7.27
