ruta,km0,km1,y_onsv,pred,pearson,dist_ingemmet_km,dist_peajes_km
PE-5N,1081.115,1098.97,28,6.093653383906877,3.331931770205623,2.501948303569983,33.09076911095906
PE-1N,21.715,22.367,8,1.6272490636374846,3.0821183230320868,1.2243730569720166,22.51623662273729
PE-34J,94.15,105.248,7,1.6048931511242375,2.6386514809707315,8.966378046118088,61.017347120536535
PE-20,14.331,16.431,9,2.285513566871377,2.450300036054043,2.4934791780455616,34.027860438774624
PE-1N,0.0,0.533,7,1.8048904955342282,2.308932951901208,1.3289285896630094,38.95603655925904
PE-20,10.961,14.331,17,4.9600298118479875,2.214415191405112,0.5848726946983388,32.029606431035326
PE-34A,119.093,124.061,8,2.2245221023193404,2.1564375448181785,3.682955144802815,7.388005312097198
PE-3N,1560.577,1578.853,7,1.9843922398509335,2.061018331666851,2.609188125476068,24.1062754484865
PE-5NI,0.0,4.445,5,1.435483276577148,1.9063779759762782,0.5577939453040227,442.05879353033015
PE-28C,251.85,264.483,7,2.4477709240641823,1.5670018930056617,4.476548486343795,101.65265223693278
PE-5S,103.089,108.13,5,1.6969913294794545,1.5439389618689567,3.52046319384944,82.94324853052092
PE-3SG,243.668,271.053,8,2.883618426852255,1.5288882873016896,7.235709916949921,49.18294480976126
