FECHA_CORTE,FECHA,HORA,DEPARTAMENTO,CODIGO_VÍA,KILOMETRO,MODALIDAD,FALLECIDOS,HERIDOS,KM,FECHA_DT,CODIGO_VIA,LATITUD_GEO,LONGITUD_GEO,GEOCODIFICADO
20211222,20200101,05:40,LIMA,PE-1S,24,DESPISTE,0,0,24.0,2020-01-01,PE-1S,-12.246584742503304,-76.93618987426358,True
20211222,20200101,16:30,CAJAMARCA,PE-3N,74,DESPISTE,0,0,74.0,2020-01-01,PE-3N,-10.988632664696011,-76.0298140159235,True
20211222,20200101,07:45,PASCO,PE-3N,103,DESPISTE,0,1,103.0,2020-01-01,PE-3N,-10.823349830810802,-76.20216703331738,True
20211222,20200101,18:30,CAJAMARCA,PE-08,111,DESPISTE,0,2,111.0,2020-01-01,PE-08,-7.242517912305455,-78.68808618826748,True
20211222,20200101,18:40,LIMA,PE-1N,174,DESPISTE,0,5,174.0,2020-01-01,PE-1N,-10.91694193899242,-77.66010963900744,True
20211222,20200101,16:30,ICA,PE-1S,199,CHOQUE,0,1,199.0,2020-01-01,PE-1S,-13.48239984615401,-76.13863094744637,True
20211222,20200101,16:35,ICA,PE-1S,201,CHOQUE,1,1,201.0,2020-01-01,PE-1S,-13.500408491038863,-76.14055886983967,True
20211222,20200101,21:45,HUANUCO,PE-3N,226,ATROPELLO,0,1,226.0,2020-01-01,PE-3N,-9.990094944479155,-76.24346845917172,True
20211222,20200101,23:50,PIURA,PE-1N,232,CHOQUE,0,6,232.0,2020-01-01,PE-1N,-10.487248649741053,-77.91427631135876,True
20211222,20200101,02:30,AMAZONAS,PE-5N,263,DESPISTE,0,2,263.0,2020-01-01,PE-5N,-9.37826343089786,-75.03360779740137,True
20211222,20200101,23:40,AREQUIPA,PE-1S,521,CHOQUE,0,0,521.0,2020-01-01,PE-1S,-15.456069300049853,-74.86692085264636,True
20211222,20200101,17:45,LA LIBERTAD,PE-1N,732,DESPISTE,0,5,732.0,2020-01-01,PE-1N,-7.058083264723555,-79.57042450172128,True
20211222,20200101,10:30,LA LIBERTAD,PE-1N,734,DESPISTE,0,2,734.0,2020-01-01,PE-1N,-7.044212393211083,-79.58239900161708,True
20211222,20200101,20:50,MOQUEGUA,PE-1S,1166,CHOQUE,0,0,1166.0,2020-01-01,PE-1S,-17.42178984359225,-71.0482073842232,True
20211222,20200101,16:50,TACNA,PE-1S,1245,DESPISTE,1,0,1245.0,2020-01-01,PE-1S,-17.802868682966253,-70.60293300424055,True
20211222,20200101,18:15,PUNO,PE-1S,1351,CHOQUE,0,0,1351.0,2020-01-01,PE-1S,,,True
20211222,20200102,12:50,AREQUIPA,PE-1SJ,6,DESPISTE,2,16,6.0,2020-01-02,PE-1SJ,-17.06408890182033,-71.72011740343434,True
20211222,20200102,05:45,TACNA,PE-1SD,8,DESPISTE,2,1,8.0,2020-01-02,PE-1SD,-16.670198169885573,-72.57000946314521,True
20211222,20200102,16:30,AREQUIPA,PE-34J,14,CHOQUE,0,0,14.0,2020-01-02,PE-34J,-15.664075233750124,-71.05258296025437,True
20211222,20200102,16:30,AREQUIPA,PE-34E,18,CHOQUE,0,3,18.0,2020-01-02,PE-34E,-15.927779149849798,-71.37374471241274,True
20211222,20200102,11:00,AREQUIPA,PE-34A,34,ESPECIAL,0,0,34.0,2020-01-02,PE-34A,-16.406894455496545,-71.60232009946931,True
20211222,20200102,10:10,LIMA,PE-1N,39,ATROPELLO,1,0,39.0,2020-01-02,PE-1N,-11.81153439569187,-77.13042173959337,True
20211222,20200102,08:00,CAJAMARCA,PE-3N,43,CHOQUE,0,0,43.0,2020-01-02,PE-3N,-11.234375670203802,-75.93904290138659,True
20211222,20200102,00:40,LIMA,PE-22,81,CHOQUE,0,1,81.0,2020-01-02,PE-22,-11.816446982929918,-76.35813220106184,True
20211222,20200102,08:25,LIMA,PE-1S,81,DESPISTE,0,0,81.0,2020-01-02,PE-1S,-12.639890900342413,-76.66894619223838,True
20211222,20200102,11:20,LIMA,PE-1S,91,DESPISTE,0,1,91.0,2020-01-02,PE-1S,-12.88030885021823,-76.51103105481899,True
20211222,20200102,16:00,AREQUIPA,PE-34A,131,CHOQUE,4,3,131.0,2020-01-02,PE-34A,-16.019366874726785,-71.28883625054624,True
20211222,20200102,13:00,JUNIN,PE-22,148,CHOQUE,0,3,148.0,2020-01-02,PE-22,-11.592219175547797,-76.07674353256293,True
20211222,20200102,21:52,ANCASH,PE-16,162,CHOQUE,0,0,162.0,2020-01-02,PE-16,,,True
20211222,20200102,17:45,LIMA,PE-1N,191,DESPISTE,0,0,191.0,2020-01-02,PE-1N,-10.82439974547155,-77.7007471042943,True
20211222,20200102,23:50,PUNO,PE-34H,226,DESPISTE,3,41,226.0,2020-01-02,PE-34H,-14.32900856180956,-69.46626222165477,True
20211222,20200102,00:40,ANCASH,PE-1N,276,CHOQUE,2,6,276.0,2020-01-02,PE-1N,-10.191202477969616,-78.06106609234054,True
20211222,20200102,15:45,AMAZONAS,PE-08B,294,DESPISTE,0,1,294.0,2020-01-02,PE-08B,-6.363163547451908,-77.92105094244381,True
20211222,20200102,06:00,APURIMAC,PE-3S,370,DESPISTE,0,2,370.0,2020-01-02,PE-3S,-13.08493734413944,-74.22723005372004,True
20211222,20200102,09:30,SAN MARTIN,PE-5N,579,DESPISTE,0,2,579.0,2020-01-02,PE-5N,-8.565237243197382,-76.27963533872723,True
20211222,20200102,16:45,MADRE DE DIOS,PE-30C,587,DESPISTE,0,4,587.0,2020-01-02,PE-30C,-11.402825930720095,-69.42688948219995,True
20211222,20200102,21:20,AREQUIPA,PE-1S,951,CHOQUE,0,0,951.0,2020-01-02,PE-1S,-16.481515495271488,-71.90513785084899,True
20211222,20200102,20:15,TACNA,PE-34B,1018,DESPISTE,0,6,1018.0,2020-01-02,PE-34B,,,True
20211222,20200103,18:30,LIMA,LM-108,2,DESPISTE,0,2,2.0,2020-01-03,LM-108,,,True
20211222,20200103,06:50,LIMA,PE-1S,71,CHOQUE,0,2,71.0,2020-01-03,PE-1S,-12.570198805780505,-76.69642422185582,True
20211222,20200103,02:25,LIMA,PE-1S,81,CHOQUE,0,4,81.0,2020-01-03,PE-1S,-12.639890900342413,-76.66894619223838,True
20211222,20200103,11:40,LIMA,PE-1S,81,CHOQUE,0,0,81.0,2020-01-03,PE-1S,-12.639890900342413,-76.66894619223838,True
20211222,20200103,19:00,LAMBAYEQUE,PE-1N,105,CHOQUE,0,3,105.0,2020-01-03,PE-1N,-11.410001373372921,-77.3830893537015,True
20211222,20200103,23:45,LIMA,PE-1N,123,CHOQUE,0,1,123.0,2020-01-03,PE-1N,-11.311270458500552,-77.48462579699292,True
20211222,20200103,11:29,JUNIN,PE-22,141,CHOQUE,0,0,141.0,2020-01-03,PE-22,-11.600943513530941,-76.1305608728843,True
20211222,20200103,16:00,LIMA,PE-1N,158,CHOQUE,0,2,158.0,2020-01-03,PE-1N,-11.033520215114203,-77.59178721245048,True
20211222,20200103,07:30,ICA,PE-1S,192,DESPISTE,0,2,192.0,2020-01-03,PE-1S,-13.420166072049675,-76.13733472259989,True
20211222,20200103,01:00,AYACUCHO,PE-28A,233,DESPISTE,0,0,233.0,2020-01-03,PE-28A,-13.355416214838,-74.766465279269,True
20211222,20200103,06:50,PUNO,PE-34A,244,CHOQUE,0,1,244.0,2020-01-03,PE-34A,-15.681300394043749,-70.55643294570511,True
20211222,20200103,10:10,ANCASH,PE-3N,388,DESPISTE,0,1,388.0,2020-01-03,PE-3N,-9.899706390295293,-76.9405823657208,True
20211222,20200103,01:20,AREQUIPA,PE-1S,953,CHOQUE,0,2,953.0,2020-01-03,PE-1S,-16.482850876228902,-71.88891831664078,True
20211222,20200103,23:50,PIURA,PE-1N,1009,DESPISTE,1,0,1009.0,2020-01-03,PE-1N,-5.098478603892822,-80.70459295668626,True
20211222,20200103,21:30,PUNO,PE-3S,1207,CHOQUE,0,4,1207.0,2020-01-03,PE-3S,-14.801578213679624,-70.71132555520762,True
20211222,20200104,11:10,ANCASH,PE-16,2,DESPISTE,0,0,2.0,2020-01-04,PE-16,-10.646153155420205,-77.80414823706126,True
20211222,20200104,12:30,AREQUIPA,PE-34,32,CHOQUE,0,0,32.0,2020-01-04,PE-34,-16.872387772538268,-72.02530603700922,True
20211222,20200104,21:40,LIMA,PE-1S,34,DESPISTE,0,2,34.0,2020-01-04,PE-1S,-12.295573558164342,-76.85896771526333,True
20211222,20200104,21:00,TACNA,PE-1SD,34,CHOQUE,2,0,34.0,2020-01-04,PE-1SD,-16.73264423454568,-72.40985333076307,True
20211222,20200104,23:50,JUNIN,PE-3S,37,DESPISTE,0,4,37.0,2020-01-04,PE-3S,-11.735716764101268,-75.7455294827613,True
20211222,20200104,17:30,UCAYALI,PE-5N,41,CHOQUE,0,2,41.0,2020-01-04,PE-5N,-10.733377902461903,-75.26545126281104,True
20211222,20200104,16:50,CAJAMARCA,PE-08B,45,CHOQUE,0,2,45.0,2020-01-04,PE-08B,-7.061731878739455,-78.29948696076289,True
20211222,20200104,01:50,JUNIN,PE-22,54,CHOQUE,0,0,54.0,2020-01-04,PE-22,-11.913917815241849,-76.546914318066,True
20211222,20200104,16:30,CAJAMARCA,PE-08A,62,DESPISTE,0,1,62.0,2020-01-04,PE-08A,-7.0651890380293265,-78.6137163851645,True
20211222,20200104,11:25,LIMA,PE-1N,111,DESPISTE,0,0,111.0,2020-01-04,PE-1N,-11.397662136794214,-77.41903008400746,True
20211222,20200104,09:30,LIMA,PE-1N,117,DESPISTE,0,1,117.0,2020-01-04,PE-1N,-11.355413761616138,-77.45269330688566,True
20211222,20200104,12:45,LIMA,PE-1S,120,DESPISTE,0,2,120.0,2020-01-04,PE-1S,-12.786263390694227,-76.5725835672223,True
20211222,20200104,12:05,HUANUCO,PE-3N,207,CHOQUE,0,1,207.0,2020-01-04,PE-3N,-10.147352180149273,-76.19254743407808,True
20211222,20200104,16:00,LAMBAYEQUE,PE-1N,829,DESPISTE,0,2,829.0,2020-01-04,PE-1N,-6.472558792443885,-80.10962815221993,True
20211222,20200105,19:50,ICA,PE-28A,4,CHOQUE,0,6,4.0,2020-01-05,PE-28A,-13.67995800703454,-76.12353796613705,True
20211222,20200105,19:50,LIMA,PE-1S,21,CHOQUE,0,2,21.0,2020-01-05,PE-1S,-12.233941721727907,-76.96055560500984,True
20211222,20200105,13:30,LIMA,PE-20A,25,CHOQUE,0,2,25.0,2020-01-05,PE-20A,-11.78617811740354,-76.98312056734912,True
20211222,20200105,13:40,JUNIN,PE-5S,45,CHOQUE,0,0,45.0,2020-01-05,PE-5S,-10.876895327888365,-74.98477749092497,True
20211222,20200105,10:54,LIMA,PE-1S,54,DESPISTE,0,2,54.0,2020-01-05,PE-1S,-12.433065910990313,-76.75429624325714,True
20211222,20200105,14:30,LIMA,PE-1N,83,CHOQUE,0,5,83.0,2020-01-05,PE-1N,-11.555918348742413,-77.26964221100262,True
20211222,20200105,16:50,LAMBAYEQUE,PE-1N,91,CHOQUE,0,1,91.0,2020-01-05,PE-1N,-11.493239872762386,-77.30375846221524,True
20211222,20200105,04:55,LIMA,PE-22,96,CHOQUE,0,3,96.0,2020-01-05,PE-22,-11.756422594262663,-76.2974607318637,True
20211222,20200105,14:10,LIMA,PE-1N,106,CHOQUE,0,2,106.0,2020-01-05,PE-1N,-11.40837388842147,-77.39117391690948,True
20211222,20200105,07:20,LIMA,PE-22,129,CHOQUE,0,0,129.0,2020-01-05,PE-22,-11.609960132545957,-76.20242925515117,True
20211222,20200105,15:45,PASCO,PE-3N,137,CHOQUE,0,2,137.0,2020-01-05,PE-3N,-10.661611148591415,-76.17476146280698,True
20211222,20200105,23:30,AREQUIPA,PE-34A,158,DESPISTE,0,0,158.0,2020-01-05,PE-34A,-15.876313756886848,-71.14759094840421,True
20211222,20200105,13:40,ANCASH,PE-1N,309,CHOQUE,3,4,309.0,2020-01-05,PE-1N,-9.949463682453223,-78.21179772134653,True
20211222,20200105,18:30,MOQUEGUA,PE-1S,1136,DESPISTE,0,0,1136.0,2020-01-05,PE-1S,-17.204020565936073,-70.99276299809735,True
20211222,20200105,17:00,PUNO,PE-3S,1258,DESPISTE,0,5,1258.0,2020-01-05,PE-3S,-15.067204219928973,-70.35604412309293,True
20211222,20200105,10:20,AREQUIPA,PE-34E,1300,CHOQUE,0,0,1300.0,2020-01-05,PE-34E,,,True
20211222,20200106,15:40,LIMA,PE-22,10,CHOQUE,0,0,10.0,2020-01-06,PE-22,-12.014765915292111,-76.90390513720499,True
20211222,20200106,06:00,LA LIBERTAD,PE-5N,20,DESPISTE,0,7,20.0,2020-01-06,PE-5N,-10.831369800683277,-75.29146856804354,True
20211222,20200106,23:40,AYACUCHO,PE-28B,28,DESPISTE,0,0,28.0,2020-01-06,PE-28B,-13.011556240357441,-74.12240369045043,True
20211222,20200106,22:30,PUNO,PE-30A,75,CHOQUE,1,0,75.0,2020-01-06,PE-30A,-14.698596110321049,-74.52210657670899,True
20211222,20200106,16:00,ICA,PE-30A,118,DESPISTE,0,0,118.0,2020-01-06,PE-30A,-14.602414330056641,-74.27675927216632,True
