id_tramo,ruta,km0,km1,dpto,region,clasifica,topografia,carriles,vel_proy,superficie,lon0,lat0,lon1,lat1,long_km
0,PE-5N,676.808,719.508,SAN MARTIN,SELVA,LONGITUDINAL DE LA SELVA,MONTAÑOSO,2.0,32.27,Buena,-76.6497463529999,-8.008693788999949,-76.67244387599993,-7.757010623999918,42.700000000000045
1,PE-5N,733.158,745.474,SAN MARTIN,SELVA,LONGITUDINAL DE LA SELVA,MONTAÑOSO,2.0,32.27,Buena,-76.6692220299999,-7.694277388999922,-76.67716542699992,-7.607111307999958,12.316000000000031
2,PE-1S,1176.78,1187.363,MOQUEGUA,SIERRA,LONGITUDINAL DE LA COSTA,PLANO,2.0,78.24,Buena,-71.07348098999995,-17.51284415899994,-71.02675249399994,-17.590476156999955,10.583000000000084
3,PE-28A,84.792,84.889,ICA,SIERRA,TRANSVERSAL,ONDULADO,2.0,75.08,Buena,-75.5117633079999,-13.588476227999934,-75.5111819519999,-13.589113784999938,0.0969999999999942
4,PE-26,8.328,12.1,ICA,COSTA,TRANSVERSAL,PLANO,2.0,62.03,Buena,-76.08328153199994,-13.41274650999992,-76.04313490499993,-13.402277237999954,3.7720000000000002
5,PE-34E,0.0,0.215,AREQUIPA,SIERRA,RAMAL,ONDULADO,2.0,66.89,Regular,-71.41052999999994,-16.054859999999906,-71.40942192099993,-16.05320167499991,0.215
6,PE-34C,65.978,83.319,AREQUIPA,SIERRA,VARIANTE,MONTAÑOSO,1.0,33.43,Mala,-71.25442633699993,-16.369158415999948,-71.1506312109999,-16.316277464999928,17.341000000000008
7,PE-34C,32.137,40.872,AREQUIPA,SIERRA,VARIANTE,ONDULADO,1.0,34.85,Mala,-71.38728999999995,-16.407189999999957,-71.35532999999992,-16.386969999999906,8.735
8,PE-34C,58.967,65.978,AREQUIPA,SIERRA,VARIANTE,MONTAÑOSO,5.0,33.43,Mala,-71.30533019699993,-16.37983821599994,-71.25442633699993,-16.369158415999948,7.010999999999996
9,PE-34C,40.872,44.906,AREQUIPA,SIERRA,VARIANTE,ONDULADO,1.0,40.84,Regular,-71.35532999999992,-16.386969999999906,-71.34174532999992,-16.38557799499995,4.033999999999999
10,PE-34I,0.0,5.012,PUNO,SIERRA,RAMAL,PLANO,2.0,75.08,Buena,-69.82865753499993,-15.235277956999937,-69.78759370799992,-15.214088273999948,5.012
